# Energy loss (eV)	Intensity (arb. units)	Error bar
   -5.0095625000           0.0002295463         0.0001129273
   -4.9398125000           0.0002777778         0.0001242260
   -4.8700625000           0.0003363707         0.0001367014
   -4.8003125000           0.0009560553         0.0002304651
   -4.7305625000           0.0006623799         0.0001918304
   -4.6608125000           0.0011898884         0.0002571088
   -4.5910625000           0.0005219723         0.0001702894
   -4.5213125000           0.0005775279         0.0001791225
   -4.4515625000           0.0006856017         0.0001951640
   -4.3818125000           0.0006111111         0.0001842569
   -4.3120625000           0.0007295463         0.0002013215
   -4.2423125000           0.0005585929         0.0001761617
   -4.1725625000           0.0012967128         0.0002684019
   -4.1028125000           0.0006593426         0.0001913900
   -4.0330625000           0.0007148981         0.0001992901
   -3.9633125000           0.0007441946         0.0002033326
   -3.8935625000           0.0007704537         0.0002068888
   -3.8238125000           0.0011111111         0.0002484520
   -3.7540625000           0.0008406574         0.0002161092
   -3.6843125000           0.0008522683         0.0002175965
   -3.6145625000           0.0004883891         0.0001647202
   -3.5448125000           0.0007295463         0.0002013215
   -3.4750625000           0.0010189350         0.0002379233
   -3.4053125000           0.0005659170         0.0001773128
   -3.3355625000           0.0011227220         0.0002497468
   -3.2658125000           0.0005891388         0.0001809142
   -3.1960625000           0.0006477317         0.0001896974
   -3.1263125000           0.0008113610         0.0002123102
   -3.0565625000           0.0006477317         0.0001896974
   -2.9868125000           0.0009487312         0.0002295807
   -2.9170625000           0.0005964629         0.0001820352
   -2.8473125000           0.0006361208         0.0001879895
   -2.7775625000           0.0010409073         0.0002404749
   -2.7078125000           0.0011153979         0.0002489308
   -2.6380625000           0.0005219723         0.0001702894
   -2.5683125000           0.0009444444         0.0002290614
   -2.4985625000           0.0010219723         0.0002382777
   -2.4288125000           0.0009297962         0.0002272781
   -2.3590625000           0.0014035371         0.0002792388
   -2.2893125000           0.0012338331         0.0002618135
   -2.2195625000           0.0009737409         0.0002325870
   -2.1498125000           0.0010818147         0.0002451547
   -2.0800625000           0.0011141485         0.0002487914
   -2.0103125000           0.0010451941         0.0002409696
   -1.9405625000           0.0006184352         0.0001853578
   -1.8708125000           0.0006111111         0.0001842569
   -1.8010625000           0.0007588428         0.0002053240
   -1.7313125000           0.0009078239         0.0002245766
   -1.6615625000           0.0012618801         0.0002647725
   -1.5918125000           0.0014896385         0.0002876764
   -1.5220625000           0.0011477317         0.0002525131
   -1.4523125000           0.0010964629         0.0002468088
   -1.3825625000           0.0014255095         0.0002814160
   -1.3128125000           0.0015671664         0.0002950675
   -1.2430625000           0.0013406574         0.0002729120
   -1.1733125000           0.0014224721         0.0002811160
   -1.1035625000           0.0010555556         0.0002421611
   -1.0338125000           0.0017368704         0.0003106329
   -0.9640625000           0.0010628797         0.0002429997
   -0.8943125000           0.0013260092         0.0002714170
   -0.8245625000           0.0010146482         0.0002374223
   -0.7548125000           0.0013815648         0.0002770444
   -0.6850625000           0.0016404076         0.0003018837
   -0.6153125000           0.0015555556         0.0002939724
   -0.5455625000           0.0018449442         0.0003201514
   -0.4758125000           0.0019255095         0.0003270669
   -0.4060625000           0.0020891388         0.0003406806
   -0.3363125000           0.0023553057         0.0003617324
   -0.2665625000           0.0020426953         0.0003368725
   -0.1968125000           0.0032717031         0.0004263347
   -0.1270625000           0.0023381586         0.0003604132
   -0.0573125000           0.0122501616         0.0008249634
    0.0124375000           0.1197514756         0.0025793138
    0.0821875000           0.0486275257         0.0016436329
    0.1519375000           0.0226722028         0.0011223042
    0.2216875000           0.0205878894         0.0010694726
    0.2914375000           0.0212911766         0.0010875859
    0.3611875000           0.0233772780         0.0011396217
    0.4309375000           0.0235939641         0.0011448912
    0.5006875000           0.0246941752         0.0011712808
    0.5704375000           0.0262282969         0.0012071154
    0.6401875000           0.0265042868         0.0012134498
    0.7099375000           0.0251654173         0.0011824038
    0.7796875000           0.0273583430         0.0012328455
    0.8494375000           0.0303838913         0.0012992282
    0.9191875000           0.0338913877         0.0013721716
    0.9889375000           0.0317783163         0.0013287069
    1.0586875000           0.0368497695         0.0014308073
    1.1284375000           0.0384469433         0.0014614860
    1.1981875000           0.0369523071         0.0014327965
    1.2679375000           0.0432954634         0.0015509041
    1.3376875000           0.0443460213         0.0015696075
    1.4074375000           0.0496170135         0.0016602713
    1.4771875000           0.0662827969         0.0019189522
    1.5469375000           0.0894387359         0.0022290847
    1.6166875000           0.1114853733         0.0024887008
    1.6864375000           0.1363356598         0.0027521271
    1.7561875000           0.1445266253         0.0028335944
    1.8259375000           0.1547483090         0.0029320860
    1.8956875000           0.1584549782         0.0029669942
    1.9654375000           0.1540275085         0.0029252494
    2.0351875000           0.1475409073         0.0028629909
    2.1049375000           0.1485142820         0.0028724194
    2.1746875000           0.1362986730         0.0027517537
    2.2444375000           0.1238186851         0.0026227497
    2.3141875000           0.1282999225         0.0026697890
    2.3839375000           0.1163620912         0.0025425500
    2.4536875000           0.1107241825         0.0024801902
    2.5234375000           0.1084573047         0.0024546702
    2.5931875000           0.1024360433         0.0023855589
    2.6629375000           0.0947461548         0.0022942701
    2.7326875000           0.0899542674         0.0022354998
    2.8024375000           0.0833168972         0.0021514452
    2.8721875000           0.0801186076         0.0021097473
    2.9419375000           0.0745189350         0.0020346845
    3.0116875000           0.0754828530         0.0020478017
    3.0814375000           0.0741966740         0.0020302801
    3.1511875000           0.0724469433         0.0020061979
    3.2209375000           0.0706196846         0.0019807362
    3.2906875000           0.0690555556         0.0019586781
    3.3604375000           0.0677136487         0.0019395539
    3.4301875000           0.0678340442         0.0019412774
    3.4999375000           0.0638699539         0.0018837013
    3.5696875000           0.0669365818         0.0019283929
    3.6394375000           0.0640323338         0.0018860943
    3.7091875000           0.0628242213         0.0018682169
    3.7789375000           0.0618656671         0.0018539098
    3.8486875000           0.0646873896         0.0018957172
    3.9184375000           0.0616411184         0.0018505422
    3.9881875000           0.0601752402         0.0018284061
    4.0579375000           0.0601904270         0.0018286368
    4.1276875000           0.0611459437         0.0018430944
    4.1974375000           0.0580323338         0.0017955552
    4.2671875000           0.0613113610         0.0018455857
    4.3369375000           0.0634957132         0.0018781745
    4.4066875000           0.0636043255         0.0018797802
    4.4764375000           0.0649012106         0.0018988478
    4.5461875000           0.0611007496         0.0018424131
    4.6159375000           0.0623063634         0.0018605012
    4.6856875000           0.0629138986         0.0018695498
    4.7554375000           0.0690201844         0.0019581764
    4.8251875000           0.0623320839         0.0018608852
    4.8949375000           0.0639474818         0.0018848443
    4.9646875000           0.0678411960         0.0019413797
    5.0344375000           0.0720457326         0.0020006351
    5.1041875000           0.0706611305         0.0019813173
    5.1739375000           0.0721800655         0.0020024993
    5.2436875000           0.0756722028         0.0020503686
    5.3134375000           0.0721184352         0.0020016443
    5.3831875000           0.0717002499         0.0019958325
    5.4529375000           0.0777826031         0.0020787630
    5.5226875000           0.0740042868         0.0020276462
    5.5924375000           0.0738247598         0.0020251853
    5.6621875000           0.0731984619         0.0020165766
    5.7319375000           0.0726264702         0.0020086821
    5.8016875000           0.0695439447         0.0019655921
    5.8714375000           0.0682009608         0.0019465206
    5.9411875000           0.0613760286         0.0018465588
    6.0109375000           0.0608542286         0.0018386926
    6.0806875000           0.0571055749         0.0017811603
    6.1504375000           0.0566979234         0.0017747914
    6.2201875000           0.0509054974         0.0016816906
    6.2899375000           0.0467881392         0.0016122472
    6.3596875000           0.0462282969         0.0016025725
    6.4294375000           0.0461764896         0.0016016743
    6.4991875000           0.0429701650         0.0015450668
    6.5689375000           0.0394212227         0.0014798878
    6.6386875000           0.0418553057         0.0015248917
    6.7084375000           0.0389042480         0.0014701521
    6.7781875000           0.0369169359         0.0014321106
    6.8479375000           0.0363919262         0.0014218909
    6.9176875000           0.0376075352         0.0014454437
    6.9874375000           0.0344010383         0.0013824503
    7.0571875000           0.0340257206         0.0013748883
    7.1269375000           0.0329530180         0.0013530422
    7.1966875000           0.0296227220         0.0012828510
    7.2664375000           0.0300659170         0.0012924120
    7.3361875000           0.0299835638         0.0012906408
    7.4059375000           0.0271355823         0.0012278161
    7.4756875000           0.0251898884         0.0011829785
    7.5454375000           0.0225861014         0.0011201712
    7.6151875000           0.0226709534         0.0011222733
    7.6849375000           0.0221355823         0.0011089430
    7.7546875000           0.0183229719         0.0010089316
    7.8244375000           0.0168535177         0.0009676293
    7.8941875000           0.0175689544         0.0009879540
    7.9639375000           0.0160580544         0.0009445179
    8.0336875000           0.0145525182         0.0008991514
    8.1034375000           0.0124047865         0.0008301535
    8.1731875000           0.0121446943         0.0008214044
    8.2429375000           0.0108962130         0.0007780393
    8.3126875000           0.0106141485         0.0007679029
    8.3824375000           0.0105232217         0.0007646067
    8.4521875000           0.0096196846         0.0007310451
    8.5219375000           0.0084456939         0.0006849856
    8.5916875000           0.0087777778         0.0006983225
    8.6614375000           0.0074401577         0.0006429169
    8.7311875000           0.0083687045         0.0006818563
    8.8009375000           0.0087118608         0.0006956955
    8.8706875000           0.0077643790         0.0006567758
