# Energy loss (eV)	Intensity (arb. units)	Error bar
   -4.7624125000           0.0001571123         0.0001383507
   -4.6926625000           0.0004553332         0.0002355272
   -4.6229125000           0.0010055266         0.0003500041
   -4.5531625000           0.0004964213         0.0002459244
   -4.4834125000           0.0003939190         0.0002190684
   -4.4136625000           0.0010750621         0.0003619038
   -4.3439125000           0.0009574451         0.0003415335
   -4.2741625000           0.0009939259         0.0003479793
   -4.2044125000           0.0006414059         0.0002795393
   -4.1346625000           0.0013269315         0.0004020690
   -4.0649125000           0.0010423793         0.0003563603
   -3.9951625000           0.0013969060         0.0004125342
   -3.9254125000           0.0011925106         0.0003811602
   -3.8556625000           0.0013391858         0.0004039213
   -3.7859125000           0.0009924763         0.0003477254
   -3.7161625000           0.0009172656         0.0003342904
   -3.6464125000           0.0013051349         0.0003987531
   -3.5766625000           0.0011883586         0.0003804960
   -3.5069125000           0.0006275792         0.0002765099
   -3.4371625000           0.0013993311         0.0004128921
   -3.3674125000           0.0006335167         0.0002778148
   -3.2976625000           0.0007015449         0.0002923507
   -3.2279125000           0.0008939239         0.0003300097
   -3.1581625000           0.0011834641         0.0003797117
   -3.0884125000           0.0010341152         0.0003549448
   -3.0186625000           0.0011945815         0.0003814910
   -2.9489125000           0.0011194219         0.0003692949
   -2.8791625000           0.0012193320         0.0003854228
   -2.8094125000           0.0015504836         0.0004346203
   -2.7396625000           0.0011126412         0.0003681747
   -2.6699125000           0.0012494465         0.0003901532
   -2.6001625000           0.0019217151         0.0004838613
   -2.5304125000           0.0018711647         0.0004774549
   -2.4606625000           0.0017200342         0.0004577675
   -2.3909125000           0.0016401444         0.0004470102
   -2.3211625000           0.0011051258         0.0003669292
   -2.2514125000           0.0014422736         0.0004191797
   -2.1816625000           0.0007058040         0.0002932368
   -2.1119125000           0.0008462660         0.0003210922
   -2.0421625000           0.0018295357         0.0004721139
   -1.9724125000           0.0015832979         0.0004391953
   -1.9026625000           0.0017352960         0.0004597939
   -1.8329125000           0.0008357795         0.0003190967
   -1.7631625000           0.0015415544         0.0004333670
   -1.6934125000           0.0012772211         0.0003944659
   -1.6236625000           0.0019737263         0.0004903654
   -1.5539125000           0.0017447510         0.0004610448
   -1.4841625000           0.0017808808         0.0004657939
   -1.4144125000           0.0012166417         0.0003849973
   -1.3446625000           0.0010378544         0.0003555860
   -1.2749125000           0.0022956718         0.0005288485
   -1.2051625000           0.0014101054         0.0004144787
   -1.1354125000           0.0023729237         0.0005376731
   -1.0656625000           0.0014525298         0.0004206675
   -0.9959125000           0.0018051689         0.0004689595
   -0.9261625000           0.0012717804         0.0003936248
   -0.8564125000           0.0018894892         0.0004797871
   -0.7866625000           0.0020662032         0.0005017217
