# Incident energy (eV) 	Intensity (arb. units)
    526.5508000000              0.0000000000
    526.6399000000              0.0011076923
    526.7393000000              0.0016000000
    526.8391000000              0.0013538462
    526.9386000000              0.0033230769
    527.0412000000              0.0024615385
    527.1415000000              0.0044307692
    527.2489000000              0.0061538462
    527.3409000000              0.0082461538
    527.4493000000              0.0105846154
    527.5421000000              0.0132923077
    527.6429000000              0.0172307692
    527.7387000000              0.0205538462
    527.8398000000              0.0278153846
    527.9395000000              0.0363076923
    528.0484000000              0.0525538462
    528.1428000000              0.0771692308
    528.2497000000              0.1273846154
    528.3420000000              0.2066461538
    528.4496000000              0.3355076923
    528.5439000000              0.4657230769
    528.6497000000              0.5784615385
    528.7443000000              0.6315076923
    528.8418000000              0.6363076923
    528.9416000000              0.6018461538
    529.0395000000              0.5417846154
    529.1474000000              0.4705230769
    529.2403000000              0.4105846154
    529.3432000000              0.3552000000
    529.4459000000              0.3106461538
    529.5451000000              0.2738461538
    529.6438000000              0.2464000000
    529.7404000000              0.2235076923
    529.8496000000              0.2018461538
    529.9415000000              0.1868307692
    530.0429000000              0.1737846154
    530.1489000000              0.1616000000
    530.2438000000              0.1516307692
    530.3485000000              0.1462153846
    530.4460000000              0.1420307692
    530.5486000000              0.1438769231
    530.6445000000              0.1489230769
    530.7424000000              0.1560615385
    530.8413000000              0.1657846154
    530.9491000000              0.1764923077
    531.0419000000              0.1867076923
    531.1389000000              0.2006153846
    531.2371000000              0.2176000000
    531.3403000000              0.2380307692
    531.4388000000              0.2621538462
    531.5366000000              0.2871384615
    531.6349000000              0.3156923077
    531.7369000000              0.3490461538
    531.8490000000              0.3879384615
    531.9418000000              0.4236307692
    532.0394000000              0.4688000000
    532.1472000000              0.5314461538
    532.2455000000              0.6048000000
    532.3412000000              0.6873846154
    532.4350000000              0.7751384615
    532.5496000000              0.8759384615
    532.6415000000              0.9387076923
    532.7442000000              0.9854769231
    532.8483000000              1.0000000000
    532.9464000000              0.9824000000
    533.0470000000              0.9316923077
    533.1443000000              0.8749538462
    533.2405000000              0.8200615385
    533.3377000000              0.7832615385
    533.4422000000              0.7576615385
    533.5481000000              0.7462153846
    533.6469000000              0.7435076923
    533.7483000000              0.7472000000
    533.8462000000              0.7545846154
    533.9470000000              0.7591384615
    534.0452000000              0.7671384615
    534.1462000000              0.7715692308
    534.2428000000              0.7783384615
    534.3441000000              0.7856000000
    534.4431000000              0.7936000000
    534.5352000000              0.8014769231
    534.6369000000              0.8120615385
    534.7470000000              0.8267076923
    534.8428000000              0.8417230769
    534.9451000000              0.8583384615
    535.0399000000              0.8781538462
    535.1426000000              0.8983384615
    535.2419000000              0.9195076923
    535.3375000000              0.9367384615
    535.4320000000              0.9526153846
    535.5370000000              0.9708307692
    535.6313000000              0.9799384615
    535.7400000000              0.9849846154
    535.8395000000              0.9905230769
    535.9424000000              0.9933538462
    536.0324000000              0.9933538462
    536.1493000000              0.9872000000
    536.2452000000              0.9750153846
    536.3440000000              0.9616000000
    536.4347000000              0.9457230769
    536.5445000000              0.9302153846
    536.6391000000              0.9188923077
    536.7390000000              0.9099076923
    536.8379000000              0.8999384615
    536.9381000000              0.8886153846
    537.0380000000              0.8754461538
    537.1410000000              0.8568615385
    537.2408000000              0.8387692308
    537.3485000000              0.8173538462
    537.4429000000              0.7964307692
    537.5402000000              0.7729230769
    537.6435000000              0.7481846154
    537.7419000000              0.7211076923
    537.8487000000              0.6955076923
    537.9427000000              0.6745846154
    538.0425000000              0.6552615385
    538.1396000000              0.6371692308
    538.2408000000              0.6152615385
    538.3391000000              0.5971692308
    538.4494000000              0.5780923077
    538.5431000000              0.5655384615
    538.6426000000              0.5508923077
    538.7329000000              0.5389538462
    538.8368000000              0.5300923077
    538.9376000000              0.5208615385
    539.0370000000              0.5150769231
    539.1408000000              0.5111384615
    539.2392000000              0.5092923077
    539.3430000000              0.5100307692
    539.4421000000              0.5111384615
    539.5395000000              0.5129846154
