# Energy loss (eV)	Intensity (arb. units)	Error bar
   -7.6820525000           0.0004666667         0.0001763834
   -7.6117025000           0.0000168652         0.0000335313
   -7.5413525000           0.0000000000         0.0000000000
   -7.4710025000           0.0000000000         0.0000000000
   -7.4006525000           0.0000000000         0.0000000000
   -7.3303025000           0.0000061514         0.0000202508
   -7.2599525000           0.0000605152         0.0000635165
   -7.1896025000           0.0000000000         0.0000000000
   -7.1192525000           0.0000000000         0.0000000000
   -7.0489025000           0.0000000000         0.0000000000
   -6.9785525000           0.0000000000         0.0000000000
   -6.9082025000           0.0000120954         0.0000283964
   -6.8378525000           0.0001914527         0.0001129757
   -6.7675025000           0.0001292231         0.0000928163
   -6.6971525000           0.0000005622         0.0000061219
   -6.6268025000           0.0000000000         0.0000000000
   -6.5564525000           0.0000000000         0.0000000000
   -6.4861025000           0.0000000000         0.0000000000
   -6.4157525000           0.0000000000         0.0000000000
   -6.3454025000           0.0000060477         0.0000200793
   -6.2750525000           0.0000595984         0.0000630335
   -6.2047025000           0.0000010206         0.0000082486
   -6.1343525000           0.0000123720         0.0000287194
   -6.0640025000           0.0002122136         0.0001189436
   -5.9936525000           0.0002407202         0.0001266808
   -5.9233025000           0.0001353766         0.0000950006
   -5.8529525000           0.0000656440         0.0000661533
   -5.7826025000           0.0000736679         0.0000700799
   -5.7122525000           0.0001968870         0.0001145679
   -5.6419025000           0.0000692009         0.0000679220
   -5.5715525000           0.0003020560         0.0001419051
   -5.5012025000           0.0007132370         0.0002180576
   -5.4308525000           0.0004739527         0.0001777550
   -5.3605025000           0.0004621022         0.0001755187
   -5.2901525000           0.0005554006         0.0001924233
   -5.2198025000           0.0006859196         0.0002138410
   -5.1494525000           0.0008372579         0.0002362566
   -5.0791025000           0.0005036512         0.0001832396
   -5.0087525000           0.0010505457         0.0002646439
   -4.9384025000           0.0009442275         0.0002508954
   -4.8680525000           0.0007848061         0.0002287365
   -4.7977025000           0.0006506993         0.0002082786
   -4.7273525000           0.0014714452         0.0003132034
   -4.6570025000           0.0008237938         0.0002343493
   -4.5866525000           0.0011852667         0.0002811010
   -4.5163025000           0.0010079216         0.0002592195
   -4.4459525000           0.0009588192         0.0002528266
   -4.3756025000           0.0010221622         0.0002610443
   -4.3052525000           0.0005768320         0.0001961006
   -4.2349025000           0.0007335003         0.0002211335
   -4.1645525000           0.0010710391         0.0002672127
   -4.0942025000           0.0013622099         0.0003013536
   -4.0238525000           0.0011800332         0.0002804797
   -3.9535025000           0.0015314372         0.0003195244
   -3.8831525000           0.0012719213         0.0002911954
   -3.8128025000           0.0014367773         0.0003094918
   -3.7424525000           0.0010733948         0.0002675064
   -3.6721025000           0.0012945219         0.0002937711
   -3.6017525000           0.0008335098         0.0002357272
   -3.5314025000           0.0013320148         0.0002979949
   -3.4610525000           0.0012744132         0.0002914805
   -3.3907025000           0.0013088514         0.0002953926
   -3.3203525000           0.0012133524         0.0002844120
   -3.2500025000           0.0012222533         0.0002854532
   -3.1796525000           0.0012329003         0.0002866938
   -3.1093025000           0.0008688808         0.0002406769
   -3.0389525000           0.0007905790         0.0002295763
   -2.9686025000           0.0015527559         0.0003217407
   -2.8982525000           0.0009459453         0.0002511235
   -2.8279025000           0.0010514545         0.0002647583
   -2.7575525000           0.0017249681         0.0003391134
   -2.6872025000           0.0012958768         0.0002939248
   -2.6168525000           0.0015506308         0.0003215204
   -2.5465025000           0.0018502465         0.0003512119
   -2.4761525000           0.0018923659         0.0003551869
   -2.4058025000           0.0016164145         0.0003282697
   -2.3354525000           0.0012829034         0.0002924498
   -2.2651025000           0.0014296597         0.0003087242
   -2.1947525000           0.0018330919         0.0003495799
   -2.1244025000           0.0015146729         0.0003177707
   -2.0540525000           0.0012657516         0.0002904883
   -1.9837025000           0.0019974235         0.0003649131
   -1.9133525000           0.0016223206         0.0003288688
   -1.8430025000           0.0013346229         0.0002982865
   -1.7726525000           0.0012395776         0.0002874691
   -1.7023025000           0.0014393616         0.0003097700
   -1.6319525000           0.0012912558         0.0002934003
   -1.5616025000           0.0020542598         0.0003700684
   -1.4912525000           0.0022764031         0.0003895641
   -1.4209025000           0.0019128446         0.0003571036
   -1.3505525000           0.0019092281         0.0003567658
   -1.2802025000           0.0021978406         0.0003827828
   -1.2098525000           0.0021880084         0.0003819257
   -1.1395025000           0.0019050466         0.0003563749
   -1.0691525000           0.0028451093         0.0004355157
   -0.9988025000           0.0016657075         0.0003332374
   -0.9284525000           0.0022084961         0.0003837096
   -0.8581025000           0.0021897536         0.0003820780
   -0.7877525000           0.0025970969         0.0004161007
   -0.7174025000           0.0016921064         0.0003358677
   -0.6470525000           0.0031921341         0.0004613122
   -0.5767025000           0.0027981223         0.0004319045
   -0.5063525000           0.0033664100         0.0004737376
   -0.4360025000           0.0027421753         0.0004275648
   -0.3656525000           0.0029914139         0.0004465732
   -0.2953025000           0.0025797360         0.0004147076
   -0.2249525000           0.0029630766         0.0004444530
   -0.1546025000           0.0034327438         0.0004783823
   -0.0842525000           0.0061815722         0.0006419539
   -0.0139025000           0.0647021930         0.0020768918
    0.0564475000           0.0937116830         0.0024994891
    0.1267975000           0.0571538032         0.0019519871
    0.1971475000           0.0348585232         0.0015244348
    0.2674975000           0.0291100842         0.0013930801
    0.3378475000           0.0219048599         0.0012084387
    0.4081975000           0.0211190031         0.0011865638
    0.4785475000           0.0226354977         0.0012284271
    0.5488975000           0.0277850350         0.0013610054
    0.6192475000           0.0302072532         0.0014190902
    0.6895975000           0.0351655057         0.0015311326
    0.7599475000           0.0392025641         0.0016166336
    0.8302975000           0.0464643553         0.0017600067
    0.9006475000           0.0495050731         0.0018166833
    0.9709975000           0.0526322008         0.0018731827
    1.0413475000           0.0548037260         0.0019114345
    1.1116975000           0.0637454418         0.0020614791
    1.1820475000           0.0626204332         0.0020432072
    1.2523975000           0.0646655716         0.0020763040
    1.3227475000           0.0654513250         0.0020888805
    1.3930975000           0.0601063872         0.0020017723
    1.4634475000           0.0614950758         0.0020247646
    1.5337975000           0.0608804283         0.0020146204
    1.6041475000           0.0582766807         0.0019710688
    1.6744975000           0.0569505127         0.0019485125
    1.7448475000           0.0587440854         0.0019789574
    1.8151975000           0.0600867518         0.0020014453
    1.8855475000           0.0621206138         0.0020350367
    1.9558975000           0.0676229141         0.0021232509
    2.0262475000           0.0690844940         0.0021460738
    2.0965975000           0.0691717088         0.0021474281
    2.1669475000           0.0637703066         0.0020618811
    2.2372975000           0.0634766245         0.0020571278
    2.3076475000           0.0601581568         0.0020026342
    2.3779975000           0.0562152961         0.0019358942
    2.4483475000           0.0525944412         0.0018725106
    2.5186975000           0.0458963445         0.0017492159
    2.5890475000           0.0476611532         0.0017825292
    2.6593975000           0.0472315391         0.0017744772
    2.7297475000           0.0456356079         0.0017442402
    2.8000975000           0.0446313403         0.0017249414
    2.8704475000           0.0440090416         0.0017128736
    2.9407975000           0.0475713768         0.0017808495
    3.0111475000           0.0496664908         0.0018196427
    3.0814975000           0.0496252303         0.0018188867
    3.1518475000           0.0508948046         0.0018420062
    3.2221975000           0.0518765997         0.0018596881
    3.2925475000           0.0519020990         0.0018601451
    3.3628975000           0.0587604108         0.0019792324
    3.4332475000           0.0643140270         0.0020706525
    3.5035975000           0.0790680076         0.0022959095
    3.5739475000           0.0912773246         0.0024668107
    3.6442975000           0.1065392628         0.0026650736
    3.7146475000           0.1335047362         0.0029833397
    3.7849975000           0.1588792313         0.0032545274
    3.8553475000           0.1811250023         0.0034749101
    3.9256975000           0.2070243155         0.0037150533
    3.9960475000           0.2246311724         0.0038698077
    4.0663975000           0.2436301943         0.0040301381
    4.1367475000           0.2537622730         0.0041130870
    4.2070975000           0.2583993741         0.0041504970
    4.2774475000           0.2584917931         0.0041512391
    4.3477975000           0.2484737504         0.0040700021
    4.4181475000           0.2469516406         0.0040575168
    4.4884975000           0.2440703178         0.0040337767
    4.5588475000           0.2267359621         0.0038878954
    4.6291975000           0.2321381055         0.0039339387
    4.6995475000           0.2270981819         0.0038909997
    4.7698975000           0.2276947692         0.0038961072
    4.8402475000           0.2257477740         0.0038794138
    4.9105975000           0.2360215052         0.0039667073
    4.9809475000           0.2337558869         0.0039476228
    5.0512975000           0.2406683392         0.0040055656
    5.1216475000           0.2534964924         0.0041109325
    5.1919975000           0.2517980020         0.0040971372
    5.2623475000           0.2436008364         0.0040298953
    5.3326975000           0.2451945646         0.0040430563
    5.4030475000           0.2552539586         0.0041251582
    5.4733975000           0.2422946536         0.0040190766
    5.5437475000           0.2384328592         0.0039869191
    5.6140975000           0.2295144986         0.0039116450
    5.6844475000           0.2270133020         0.0038902725
    5.7547975000           0.2353937955         0.0039614290
    5.8251475000           0.2282968209         0.0039012547
    5.8954975000           0.2273482537         0.0038931414
    5.9658475000           0.2292649741         0.0039095181
    6.0361975000           0.2246645863         0.0038700955
    6.1065475000           0.2213875917         0.0038417669
    6.1768975000           0.2145002203         0.0037815360
    6.2472475000           0.2080338899         0.0037241007
    6.3175975000           0.2011327815         0.0036618099
    6.3879475000           0.1951709066         0.0036071310
    6.4582975000           0.1951558737         0.0036069920
    6.5286475000           0.1828194726         0.0034911266
    6.5989975000           0.1737221602         0.0034031570
    6.6693475000           0.1768109619         0.0034332779
    6.7396975000           0.1689879555         0.0033564660
    6.8100475000           0.1617764134         0.0032840667
    6.8803975000           0.1566026039         0.0032311257
    6.9507475000           0.1541788386         0.0032060239
    7.0210975000           0.1570897305         0.0032361472
    7.0914475000           0.1491710422         0.0031535276
    7.1617975000           0.1437038750         0.0030951992
    7.2321475000           0.1353973354         0.0030044116
    7.3024975000           0.1297793936         0.0029414214
    7.3728475000           0.1285859588         0.0029278656
    7.4431975000           0.1234814799         0.0028691634
    7.5135475000           0.1168835077         0.0027914573
    7.5838975000           0.1121248000         0.0027340422
    7.6542475000           0.1035648451         0.0026276078
    7.7245975000           0.0957495472         0.0025265200
    7.7949475000           0.0913904217         0.0024683385
    7.8652975000           0.0821314388         0.0023399635
    7.9356475000           0.0822837215         0.0023421318
    8.0059975000           0.0726406452         0.0022006157
    8.0763475000           0.0671154441         0.0021152690
    8.1466975000           0.0650007683         0.0020816783
    8.2170475000           0.0570963715         0.0019510061
    8.2873975000           0.0515367235         0.0018535861
    8.3577475000           0.0490202292         0.0018077653
    8.4280975000           0.0449965989         0.0017319854
    8.4984475000           0.0414290710         0.0016619080
    8.5687975000           0.0404731255         0.0016426224
    8.6391475000           0.0341492887         0.0015088470
    8.7094975000           0.0325090454         0.0014721650
    8.7798475000           0.0306327767         0.0014290504
    8.8501975000           0.0281202169         0.0013691900
    8.9205475000           0.0268128342         0.0013369825
    8.9908975000           0.0234208640         0.0012495563
    9.0612475000           0.0239000968         0.0012622756
