# Energy loss (eV)	Intensity (arb. units)	Error bar
   -1.2197100000           0.0027305884         0.0003458923
   -1.1493600000           0.0034375772         0.0003880959
   -1.0790100000           0.0040777491         0.0004226911
   -1.0086600000           0.0031588813         0.0003720313
   -0.9383100000           0.0041515159         0.0004264972
   -0.8679600000           0.0046122045         0.0004495387
   -0.7976100000           0.0044407983         0.0004411064
   -0.7272600000           0.0047081595         0.0004541909
   -0.6569100000           0.0041598946         0.0004269274
   -0.5865600000           0.0045910605         0.0004485071
   -0.5162100000           0.0055238966         0.0004919666
   -0.4458600000           0.0056562281         0.0004978245
   -0.3755100000           0.0055508683         0.0004931662
   -0.3051600000           0.0054304730         0.0004877886
   -0.2348100000           0.0055516605         0.0004932014
   -0.1644600000           0.0060190511         0.0005135430
   -0.0941100000           0.0100508360         0.0006636115
   -0.0237600000           0.0976837915         0.0020688265
    0.0465900000           0.2032613543         0.0029842845
    0.1169400000           0.1368856107         0.0024490166
    0.1872900000           0.0885293950         0.0019695027
    0.2576400000           0.0628313807         0.0016592091
    0.3279900000           0.0470952423         0.0014364858
    0.3983400000           0.0470559864         0.0014358870
    0.4686900000           0.0482103517         0.0014533927
    0.5390400000           0.0549123154         0.0015511282
    0.6093900000           0.0621527692         0.0016502246
    0.6797400000           0.0681469185         0.0017279689
    0.7500900000           0.0723550971         0.0017805222
    0.8204400000           0.0803775029         0.0018766361
    0.8907900000           0.0867542645         0.0019496571
    0.9611400000           0.0961603148         0.0020526304
    1.0314900000           0.0977757749         0.0020698003
    1.1018400000           0.1011889388         0.0021056168
    1.1721900000           0.1016263989         0.0021101634
    1.2425400000           0.1040792076         0.0021354766
    1.3128900000           0.1029204335         0.0021235555
    1.3832400000           0.1021989277         0.0021160990
    1.4535900000           0.0985408799         0.0020778828
    1.5239400000           0.0978743027         0.0020708429
    1.5942900000           0.1013727894         0.0021075288
    1.6646400000           0.1043538927         0.0021382927
    1.7349900000           0.1045513254         0.0021403145
    1.8053400000           0.1074378313         0.0021696588
