# Incident energy (eV) 	Intensity (arb. units)
    525.1608000000              0.0000000000
    525.2508000000              0.0020352418
    525.3531000000              0.0068555514
    525.4582000000              0.0164426115
    525.5515000000              0.0191205613
    525.6511000000              0.0180493814
    525.7484000000              0.0171924375
    525.8509000000              0.0179958224
    525.9580000000              0.0209415671
    526.0511000000              0.0121578919
    526.1480000000              0.0127470409
    526.2580000000              0.0162283756
    526.3516000000              0.0155321086
    526.4531000000              0.0129612768
    526.5548000000              0.0106046811
    526.6498000000              0.0115151840
    526.7497000000              0.0099619731
    526.8581000000              0.0053023405
    526.9509000000              0.0113009480
    527.0587000000              0.0085158802
    527.1520000000              0.0103904451
    527.2493000000              0.0086229982
    527.3503000000              0.0077660543
    527.4500000000              0.0104440041
    527.5587000000              0.0141395747
    527.6529000000              0.0071233464
    527.7486000000              0.0031064217
    527.8483000000              0.0038026887
    527.9514000000              0.0057843715
    528.0496000000              0.0062664024
    528.1471000000              0.0099619731
    528.2500000000              0.0085158802
    528.3490000000              0.0118900969
    528.4481000000              0.0197632692
    528.5481000000              0.0214771571
    528.6468000000              0.0322960741
    528.7514000000              0.0381875636
    528.8495000000              0.0447217610
    528.9509000000              0.0459536179
    529.0509000000              0.0567189760
    529.1543000000              0.0668951850
    529.2581000000              0.0807134058
    529.3551000000              0.1015478550
    529.4506000000              0.1462696160
    529.5487000000              0.2122007391
    529.6554000000              0.3509185368
    529.7503000000              0.5176476889
    529.8508000000              0.6600074983
    529.9476000000              0.7288308071
    530.0509000000              0.7227250817
    530.1479000000              0.6754324889
    530.2568000000              0.6101976327
    530.3538000000              0.5571206684
    530.4517000000              0.5159873601
    530.5493000000              0.4755503187
    530.6516000000              0.4402013818
    530.7589000000              0.4184028708
    530.8539000000              0.3925874351
    530.9510000000              0.3887311874
    531.0556000000              0.3854640887
    531.1580000000              0.3846607038
    531.2534000000              0.3924803171
    531.3502000000              0.4034599111
    531.4495000000              0.4170103369
    531.5475000000              0.4392373199
    531.6480000000              0.4718011890
    531.7468000000              0.5057040330
    531.8551000000              0.5485512292
    531.9500000000              0.5866852338
    532.0541000000              0.6050559692
    532.1502000000              0.6344598575
    532.2505000000              0.6450109796
    532.3515000000              0.6639173049
    532.4571000000              0.6789138236
    532.5528000000              0.6784853516
    532.6517000000              0.6880724118
    532.7497000000              0.6932140753
    532.8514000000              0.6933211933
    532.9581000000              0.7128702266
    533.0556000000              0.7197793369
    533.1529000000              0.7433452948
    533.2515000000              0.7547533608
    533.3506000000              0.7671254887
    533.4549000000              0.7783193187
    533.5511000000              0.7793904986
    533.6536000000              0.7861389320
    533.7527000000              0.7947619303
    533.8512000000              0.8063842322
    533.9551000000              0.8049381394
    534.0581000000              0.8126506347
    534.1551000000              0.8138824916
    534.2512000000              0.7999035938
    534.3580000000              0.7878528199
    534.4538000000              0.7751593380
    534.5546000000              0.7590380804
    534.6516000000              0.7541106529
    534.7496000000              0.7636977130
    534.8497000000              0.7598414654
    534.9493000000              0.7729098602
    535.0525000000              0.7759091639
    535.1558000000              0.7735525682
    535.2512000000              0.7777301698
    535.3545000000              0.7905307696
    535.4539000000              0.8039205185
    535.5516000000              0.8212736329
    535.6524000000              0.8358416796
    535.7593000000              0.8423223180
    535.8525000000              0.8641743881
    535.9509000000              0.8810454716
    536.0480000000              0.9053076964
    536.1485000000              0.9408708693
    536.2508000000              0.9738632103
    536.3504000000              1.0000000000
    536.4573000000              0.9985539071
    536.5542000000              0.9848963633
    536.6539000000              0.9708639066
    536.7493000000              0.9514755503
    536.8573000000              0.9430667881
    536.9527000000              0.9478335386
    537.0578000000              0.9574205988
    537.1532000000              0.9640083552
    537.2534000000              0.9578490708
    537.3516000000              0.9555995930
    537.4524000000              0.9422098441
    537.5532000000              0.9143056076
    537.6535000000              0.8843125703
    537.7574000000              0.8491243104
    537.8580000000              0.8095442130
    537.9509000000              0.7838894542
    538.0571000000              0.7423276739
    538.1528000000              0.7121739596
    538.2513000000              0.6849124310
    538.3529000000              0.6511167051
    538.4512000000              0.6352632425
    538.5581000000              0.6109474586
    538.6549000000              0.6053237641
    538.7527000000              0.5952546730
    538.8497000000              0.5844893150
    538.9592000000              0.5719029511
    539.0531000000              0.5728134540
    539.1485000000              0.5736168389
    539.2506000000              0.5774195276
    539.3485000000              0.5834181351
    539.4517000000              0.5911841894
    539.5492000000              0.6137325264
    539.6481000000              0.6268009212
    539.7506000000              0.6445289486
    539.8537000000              0.6649884848
    539.9583000000              0.6717904772
    540.0538000000              0.6888757967
    540.1562000000              0.7049434953
    540.2516000000              0.7263135344
    540.3578000000              0.7350436506
    540.4553000000              0.7452734187
    540.5510000000              0.7491296663
    540.6592000000              0.7622516202
    540.7525000000              0.7621445022
    540.8508000000              0.7654651599
    540.9509000000              0.7668041348
    541.0563000000              0.7554496278
    541.1526000000              0.7619302662
    541.2521000000              0.7597343474
    541.3456000000              0.7568957206
    541.4454000000              0.7570563976
    541.5471000000              0.7513255851
    541.6496000000              0.7459161266
    541.7509000000              0.7352578866
    541.8555000000              0.7294199561
    541.9562000000              0.7201542499
    542.0577000000              0.7255101494
    542.1526000000              0.7191901880
    542.2546000000              0.7082641530
    542.3520000000              0.7105136308
    542.4514000000              0.7040865513
    542.5491000000              0.7052112902
    542.6520000000              0.6996947137
    542.7479000000              0.6944459322
    542.8531000000              0.6973381179
    542.9578000000              0.6892507097
    543.0457000000              0.6934283113
    543.1500000000              0.6982486209
    543.2527000000              0.7019977505
    543.3587000000              0.6850731080
    543.4565000000              0.6861442879
    543.5539000000              0.6868405549
    543.6500000000              0.6836805742
    543.7508000000              0.6929998393
    543.8476000000              0.6974452359
    543.9566000000              0.6886080017
    544.0521000000              0.6976059129
    544.1530000000              0.7115312517
    544.2506000000              0.7162980022
    544.3505000000              0.7188152750
    544.4520000000              0.7179583311
    544.5516000000              0.7280274222
    544.6580000000              0.7299019870
    544.7475000000              0.7320443468
    544.8595000000              0.7315087569
    544.9572000000              0.7273847143
    545.0535000000              0.7307589310
    545.1579000000              0.7258315034
